"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","lr","parameters.epochs","parameters.lr","seed","parameters.seeds","program","epoch","test_mae","test_r","train_mae","train_r","val_mae","val_r"
"bs32-seed2","finished","-","","bs32","2025-11-14T20:01:34.000Z","653","","32","10","0.00001","","","2","","","10","0.5828201127488438","0.6554685831069946","0.44137903075375245","0.803374171257019","0.5880615195807288","0.6634455919265747"
"bs32-seed1","finished","-","","bs32","2025-11-14T19:50:44.000Z","650","","32","10","0.00001","","","1","","","10","0.6005760347697793","0.6378360390663147","0.4646945921871477","0.7828078269958496","0.6042349857442519","0.6466573476791382"
"bs32-seed0","finished","-","","bs32","2025-11-14T19:39:44.000Z","660","","32","10","0.00001","","","0","","","10","0.5947143777114589","0.6336725950241089","0.4626197779250002","0.7830307483673096","0.5926879384938408","0.6549484729766846"
"bs16-seed4","finished","-","","bs16","2025-11-14T19:25:51.000Z","833","","16","10","0.00001","","","4","","","10","0.5876962414548441","0.6454450488090515","0.4300904955358027","0.8118422031402588","0.5860589069903955","0.6619684100151062"
"bs16-seed3","finished","-","","bs16","2025-11-14T19:12:02.000Z","828","","16","10","0.00001","","","3","","","10","0.5760093362419152","0.6502273082733154","0.42119315761827425","0.8210055232048035","0.5973484556703172","0.6595024466514587"
"bs16-seed2","finished","-","","bs16","2025-11-14T18:58:04.000Z","838","","16","10","0.00001","","","2","","","10","0.5732225953984115","0.6595237255096436","0.41725942003958955","0.8246957063674927","0.5968735207467389","0.6574468612670898"
"bs16-seed1","finished","-","","bs16","2025-11-14T18:39:17.000Z","1127","","","","","","","","","","10","0.5897615566575454","0.6341864466667175","0.44719408005252925","0.7985806465148926","0.6041171205114331","0.6444183588027954"
"bs8-seed-4","finished","-","","bs8","2025-11-14T17:39:20.000Z","1556","","","","","","","","","","10","0.5830142321122205","0.6409395337104797","0.4171343703704055","0.8249001502990723","0.5958913663728301","0.6574898958206177"
"bs16-seed-0","finished","-","","bs16","2025-11-14T16:34:59.000Z","1131","eat8ngqp","16","10","0.00001","","","0","","","10","0.5919993061778004","0.628081202507019","0.43842550881296216","0.8050076961517334","0.5930370214070089","0.6494097113609314"
"bs8-seed-3","finished","-","","bs8","2025-11-14T07:42:46.000Z","1752","eat8ngqp","8","10","0.00001","","","3","","","10","0.5815459030903191","0.6478549242019653","0.411173167655211","0.8294041752815247","0.6031111588463939","0.6571939587593079"
"bs8-seed-2","finished","-","","bs8","2025-11-14T07:14:51.000Z","1671","eat8ngqp","8","10","0.00001","","","2","","","10","0.580193676237314","0.643892765045166","0.40518736187089793","0.834688663482666","0.5933978010179027","0.6612696051597595"
"bs8-seed-1","finished","-","","bs8","2025-11-14T06:47:20.000Z","1645","eat8ngqp","8","10","0.00001","","","1","","","10","0.5974686582304217","0.6260267496109009","0.4374580524365479","0.807388186454773","0.6103249323120457","0.6397435069084167"
"bs8-seed-0","finished","-","","bs8","2025-11-14T06:20:15.000Z","1622","eat8ngqp","8","10","0.00001","","","0","","","10","0.5870139202091591","0.6320074200630188","0.4241461561278936","0.8169429302215576","0.5992662776206297","0.6429340243339539"
